1	35.00	35.00	0.00	0.00	230.00	0
2	41.00	49.00	10.00	0.00	204.00	10
3	35.00	17.00	7.00	0.00	202.00	10
4	55.00	45.00	13.00	0.00	197.00	10
5	55.00	20.00	19.00	149.00	159.00	10
6	15.00	30.00	26.00	0.00	199.00	10
7	25.00	30.00	3.00	99.00	109.00	10
8	20.00	50.00	5.00	0.00	198.00	10
9	10.00	43.00	9.00	95.00	105.00	10
10	55.00	60.00	16.00	97.00	107.00	10
11	30.00	60.00	16.00	124.00	134.00	10
12	20.00	65.00	12.00	67.00	77.00	10
13	50.00	35.00	19.00	0.00	205.00	10
14	30.00	25.00	23.00	159.00	169.00	10
15	15.00	10.00	20.00	0.00	187.00	10
16	30.00	5.00	8.00	61.00	71.00	10
17	10.00	20.00	19.00	0.00	190.00	10
18	5.00	30.00	2.00	157.00	167.00	10
19	20.00	40.00	12.00	0.00	204.00	10
20	15.00	60.00	17.00	0.00	187.00	10
21	45.00	65.00	9.00	0.00	188.00	10
22	45.00	20.00	11.00	0.00	201.00	10
23	45.00	10.00	18.00	97.00	107.00	10
24	55.00	5.00	29.00	68.00	78.00	10
25	65.00	35.00	3.00	0.00	190.00	10
26	65.00	20.00	6.00	172.00	182.00	10
27	45.00	30.00	17.00	0.00	208.00	10
28	35.00	40.00	16.00	37.00	47.00	10
29	41.00	37.00	16.00	0.00	213.00	10
30	64.00	42.00	9.00	0.00	190.00	10
31	40.00	60.00	21.00	71.00	81.00	10
32	31.00	52.00	27.00	0.00	202.00	10
33	35.00	69.00	23.00	0.00	186.00	10
34	53.00	52.00	11.00	37.00	47.00	10
35	65.00	55.00	14.00	0.00	183.00	10
36	63.00	65.00	8.00	143.00	153.00	10
37	2.00	60.00	5.00	41.00	51.00	10
38	20.00	20.00	8.00	0.00	198.00	10
39	5.00	5.00	16.00	83.00	93.00	10
40	60.00	12.00	31.00	44.00	54.00	10
41	40.00	25.00	9.00	85.00	95.00	10
42	42.00	7.00	5.00	97.00	107.00	10
43	24.00	12.00	5.00	31.00	41.00	10
44	23.00	3.00	7.00	0.00	185.00	10
45	11.00	14.00	18.00	69.00	79.00	10
46	6.00	38.00	16.00	32.00	42.00	10
47	2.00	48.00	1.00	0.00	184.00	10
48	8.00	56.00	27.00	0.00	185.00	10
49	13.00	52.00	36.00	0.00	192.00	10
50	6.00	68.00	30.00	108.00	118.00	10
51	47.00	47.00	13.00	0.00	203.00	10
52	49.00	58.00	10.00	0.00	193.00	10
53	27.00	43.00	9.00	0.00	208.00	10
54	37.00	31.00	14.00	95.00	105.00	10
55	57.00	29.00	18.00	0.00	197.00	10
56	63.00	23.00	2.00	136.00	146.00	10
57	53.00	12.00	6.00	130.00	140.00	10
58	32.00	12.00	7.00	0.00	196.00	10
59	36.00	26.00	18.00	200.00	210.00	10
60	21.00	24.00	28.00	0.00	202.00	10
61	17.00	34.00	3.00	0.00	201.00	10
62	12.00	24.00	13.00	0.00	194.00	10
63	24.00	58.00	19.00	58.00	68.00	10
64	27.00	69.00	10.00	0.00	185.00	10
65	15.00	77.00	9.00	73.00	83.00	10
66	62.00	77.00	20.00	51.00	61.00	10
67	49.00	73.00	25.00	127.00	137.00	10
68	67.00	5.00	25.00	83.00	93.00	10
69	56.00	39.00	36.00	142.00	152.00	10
70	37.00	47.00	6.00	50.00	60.00	10
71	37.00	56.00	5.00	182.00	192.00	10
72	57.00	68.00	15.00	0.00	180.00	10
73	47.00	16.00	25.00	0.00	197.00	10
74	44.00	17.00	9.00	0.00	199.00	10
75	46.00	13.00	8.00	149.00	159.00	10
76	49.00	11.00	18.00	0.00	192.00	10
77	49.00	42.00	13.00	73.00	83.00	10
78	53.00	43.00	14.00	179.00	189.00	10
79	61.00	52.00	3.00	96.00	106.00	10
80	57.00	48.00	23.00	92.00	102.00	10
81	56.00	37.00	6.00	182.00	192.00	10
82	55.00	54.00	26.00	0.00	192.00	10
83	15.00	47.00	16.00	0.00	196.00	10
84	14.00	37.00	11.00	0.00	198.00	10
85	11.00	31.00	7.00	101.00	111.00	10
86	16.00	22.00	41.00	0.00	196.00	10
87	4.00	18.00	35.00	0.00	184.00	10
88	28.00	18.00	26.00	93.00	103.00	10
89	26.00	52.00	9.00	74.00	84.00	10
90	26.00	35.00	15.00	0.00	211.00	10
91	31.00	67.00	3.00	0.00	187.00	10
92	15.00	19.00	1.00	0.00	194.00	10
93	22.00	22.00	2.00	18.00	28.00	10
94	18.00	24.00	22.00	188.00	198.00	10
95	26.00	27.00	27.00	0.00	207.00	10
96	25.00	24.00	20.00	0.00	205.00	10
97	22.00	27.00	11.00	0.00	204.00	10
98	25.00	21.00	12.00	0.00	202.00	10
99	19.00	21.00	10.00	0.00	198.00	10
100	20.00	26.00	9.00	83.00	93.00	10
101	18.00	18.00	17.00	185.00	195.00	10
